materia_malla_id,materia,nivel,simulacion_id,titulo,estado,tipo,indicadores,restricciones,criterios,conceptos,escenarios,observaciones
1,N1M1_ESTADISTICA_DESCRIPTIV - Estadistica Descriptiva,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 1,288,Examen SimutaV2 - Estadistica Descriptiva,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
2,N1M2_CONTABILIDAD_DE_COSTOS - Contabilidad de Costos,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 1,289,Examen SimutaV2 - Contabilidad de Costos,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
3,N1M3_PROCESOS_ADMINISTRATIV - Procesos Administrativos,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 1,290,Examen SimutaV2 - Procesos Administrativos,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
4,N1M4_DERECHO_LABORAL - Derecho Laboral,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 1,291,Examen SimutaV2 - Derecho Laboral,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
5,N2M1_DESARROLLO_Y_COMPORTAM - Desarrollo y Comportamiento Organizacional,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 2,292,Examen SimutaV2 - Desarrollo y Comportamiento Organizacional,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
6,N2M2_METODOLOGIA_DE_LA_INVE - Metodologia de la Investigacion,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 2,293,Examen SimutaV2 - Metodologia de la Investigacion,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
7,N2M3_DERECHO_EMPRESARIAL - Derecho Empresarial,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 2,294,Examen SimutaV2 - Derecho Empresarial,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
8,N3M1_ADMINISTRACION_FINANCI - Administracion Financiera,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 3,295,Examen SimutaV2 - Administracion Financiera,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
9,N3M2_GESTION_Y_ADMINISTRACI - Gestion y Administracion del Talento Humano,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 3,296,Examen SimutaV2 - Gestion y Administracion del Talento Humano,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
10,N3M3_TECNOLOGIAS_DE_LA_INFO - Tecnologias de la Informacion y la Comunicacion,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 3,297,Examen SimutaV2 - Tecnologias de la Informacion y la Comunicacion,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
11,N4M1_GERENCIA_DE_LA_CALIDAD - Gerencia de la Calidad,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 4,298,Examen SimutaV2 - Gerencia de la Calidad,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
12,N4M2_ADMINISTRACION_DE_LA_P - Administracion de la Produccion,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 4,299,Examen SimutaV2 - Administracion de la Produccion,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
13,N4M3_ETICA_EMPRESARIAL_Y_RE - Etica Empresarial y Responsabilidad Social,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 4,300,Examen SimutaV2 - Etica Empresarial y Responsabilidad Social,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
14,N4M4_NUEVAS_TENDENCIAS_EN_A - Nuevas Tendencias en Administracion,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 4,301,Examen SimutaV2 - Nuevas Tendencias en Administracion,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
15,N5M1_EMPRENDIMIENTO - Emprendimiento,Administracion de Empresas - Malla Administracion de Empresas UTA 2026 / Nivel 5,302,Examen SimutaV2 - Emprendimiento,PUBLICADA,CON_IA_DINAMICA,5,4,4,12,0,Config básica completa
